state_name,county,city,city_ascii
Alabama,Lauderdale,Underwood-Petersville,Underwood-Petersville
Alabama,Lauderdale,Killen,Killen
Alabama,Lauderdale,Rogersville,Rogersville
Alabama,Lauderdale,St. Florian,St. Florian
Alabama,Lauderdale,Lexington,Lexington
Alabama,Lauderdale,Anderson,Anderson
Alabama,Lauderdale,Waterloo,Waterloo
Alabama,Lawrence,Moulton,Moulton
Alabama,Lawrence,Town Creek,Town Creek
Alabama,Lawrence,Courtland,Courtland
Alabama,Lawrence,Hillsboro,Hillsboro
Alabama,Lawrence,North Courtland,North Courtland
Alabama,Lawrence,Hatton,Hatton
Alabama,Lee,Auburn,Auburn
Alabama,Lee,Opelika,Opelika
Alabama,Lee,Smiths Station,Smiths Station
Alabama,Lee,Loachapoka,Loachapoka
Alabama,Limestone,Athens,Athens
Alabama,Limestone,Ardmore,Ardmore
Alabama,Limestone,Elkmont,Elkmont
Alabama,Limestone,Lester,Lester
Alabama,Limestone,Mooresville,Mooresville
Alabama,Lowndes,Fort Deposit,Fort Deposit
Alabama,Lowndes,Hayneville,Hayneville
Alabama,Lowndes,Mosses,Mosses
Alabama,Lowndes,White Hall,White Hall
Alabama,Lowndes,Gordonville,Gordonville
Alabama,Lowndes,Lowndesboro,Lowndesboro
Alabama,Lowndes,Benton,Benton
Alabama,Macon,Tuskegee,Tuskegee
Alabama,Macon,Notasulga,Notasulga
Alabama,Macon,Franklin,Franklin
Alabama,Macon,Shorter,Shorter
Alabama,Madison,Huntsville,Huntsville
Alabama,Madison,Madison,Madison
Alabama,Madison,Meridianville,Meridianville
Alabama,Madison,Harvest,Harvest
Alabama,Madison,Moores Mill,Moores Mill
Alabama,Madison,Hazel Green,Hazel Green
Alabama,Madison,Triana,Triana
Alabama,Madison,New Hope,New Hope
Alabama,Madison,Owens Cross Roads,Owens Cross Roads
Alabama,Madison,New Market,New Market
Alabama,Madison,Redstone Arsenal,Redstone Arsenal
Alabama,Madison,Gurley,Gurley
Alabama,Marengo,Demopolis,Demopolis
Alabama,Marengo,Linden,Linden
Alabama,Marengo,Thomaston,Thomaston
Alabama,Marengo,Faunsdale,Faunsdale
Alabama,Marengo,Sweet Water,Sweet Water
Alabama,Marengo,Myrtlewood,Myrtlewood
Alabama,Marengo,Providence,Providence
Alabama,Marengo,Dayton,Dayton
Alabama,Marengo,Putnam,Putnam
Alabama,Marengo,Nanafalia,Nanafalia
Alabama,Marion,Hamilton,Hamilton
Alabama,Marion,Winfield,Winfield
Alabama,Marion,Guin,Guin
Alabama,Marion,Hackleburg,Hackleburg
Alabama,Marion,Bear Creek,Bear Creek
Alabama,Marion,Brilliant,Brilliant
Alabama,Marion,Twin,Twin
Alabama,Marion,Gu-Win,Gu-Win
Alabama,Marshall,Albertville,Albertville
Alabama,Marshall,Boaz,Boaz
Alabama,Marshall,Guntersville,Guntersville
Alabama,Marshall,Arab,Arab
Alabama,Marshall,Grant,Grant
Alabama,Marshall,Douglas,Douglas
Alabama,Marshall,Union Grove,Union Grove
Alabama,Mobile,Mobile,Mobile
Alabama,Mobile,Prichard,Prichard
Alabama,Mobile,Tillmans Corner,Tillmans Corner
Alabama,Mobile,Saraland,Saraland
Alabama,Mobile,Satsuma,Satsuma
Alabama,Mobile,Chickasaw,Chickasaw
